Date	2 yr	5 yr
01/02/90	7.87	7.87
01/03/90	7.94	7.92
01/04/90	7.92	7.91
01/05/90	7.9	7.92
01/08/90	7.9	7.92
01/09/90	7.91	7.92
01/10/90	7.91	7.92
01/11/90	7.91	7.94
01/12/90	7.93	7.99
01/16/90	8.1	8.11
01/17/90	8.09	8.11
01/18/90	8.25	8.27
01/19/90	8.2	8.2
01/22/90	8.18	8.19
01/23/90	8.18	8.18
01/24/90	8.2	8.28
01/25/90	8.24	8.31
01/26/90	8.28	8.38
01/29/90	8.3	8.39
01/30/90	8.3	8.43
01/31/90	8.28	8.35
02/01/90	8.28	8.35
02/02/90	8.37	8.42
02/05/90	8.37	8.44
02/06/90	8.42	8.49
02/07/90	8.42	8.51
02/08/90	8.37	8.45
02/09/90	8.25	8.29
02/12/90	8.32	8.37
02/13/90	8.21	8.29
02/14/90	8.27	8.34
02/15/90	8.35	8.4
02/16/90	8.36	8.41
02/20/90	8.52	8.58
02/21/90	8.5	8.6
02/22/90	8.45	8.48
02/23/90	8.43	8.47
02/26/90	8.38	8.4
02/27/90	8.34	8.34
02/28/90	8.43	8.44
03/01/90	8.53	8.53
03/02/90	8.48	8.5
03/05/90	8.55	8.58
03/06/90	8.54	8.57
03/07/90	8.54	8.56
03/08/90	8.59	8.57
03/09/90	8.73	8.68
03/12/90	8.71	8.67
03/13/90	8.77	8.75
03/14/90	8.69	8.67
03/15/90	8.71	8.69
03/16/90	8.64	8.61
03/19/90	8.68	8.65
03/20/90	8.68	8.61
03/21/90	8.69	8.62
03/22/90	8.62	8.56
03/23/90	8.61	8.54
03/26/90	8.61	8.52
03/27/90	8.59	8.55
03/28/90	8.57	8.53
03/29/90	8.62	8.6
03/30/90	8.64	8.65
04/02/90	8.62	8.65
04/03/90	8.61	8.64
04/04/90	8.54	8.56
04/05/90	8.54	8.57
04/06/90	8.52	8.55
04/09/90	8.54	8.58
04/10/90	8.54	8.58
04/11/90	8.56	8.6
04/12/90	8.57	8.62
04/16/90	8.61	8.65
04/17/90	8.7	8.73
04/18/90	8.79	8.84
04/19/90	8.81	8.84
04/20/90	8.82	8.88
04/23/90	8.87	8.92
04/24/90	8.92	8.96
04/25/90	8.95	9
04/26/90	9.03	9.09
04/27/90	8.98	9.06
04/30/90	8.96	9.04
05/01/90	9.02	9.08
05/02/90	9.05	9.1
05/03/90	8.98	9.04
05/04/90	8.7	8.8
05/07/90	8.74	8.83
05/08/90	8.68	8.79
05/09/90	8.75	8.87
05/10/90	8.69	8.8
05/11/90	8.55	8.64
05/14/90	8.51	8.6
05/15/90	8.54	8.64
05/16/90	8.54	8.66
05/17/90	8.56	8.69
05/18/90	8.63	8.74
05/21/90	8.61	8.74
05/22/90	8.54	8.66
05/23/90	8.51	8.61
05/24/90	8.5	8.58
05/25/90	8.53	8.61
05/29/90	8.52	8.59
05/30/90	8.48	8.56
05/31/90	8.5	8.56
06/01/90	8.33	8.38
06/04/90	8.31	8.39
06/05/90	8.34	8.42
06/06/90	8.34	8.43
06/07/90	8.34	8.41
06/08/90	8.33	8.42
06/11/90	8.36	8.43
06/12/90	8.36	8.44
06/13/90	8.27	8.35
06/14/90	8.24	8.32
06/15/90	8.33	8.41
06/18/90	8.39	8.45
06/19/90	8.41	8.47
06/20/90	8.43	8.51
06/21/90	8.41	8.48
06/22/90	8.4	8.46
06/25/90	8.45	8.53
06/26/90	8.41	8.51
06/27/90	8.37	8.47
06/28/90	8.31	8.41
06/29/90	8.24	8.35
07/02/90	8.25	8.35
07/03/90	8.2	8.32
07/05/90	8.22	8.34
07/06/90	8.32	8.44
07/09/90	8.39	8.49
07/10/90	8.4	8.5
07/11/90	8.4	8.49
07/12/90	8.2	8.37
07/13/90	8.13	8.32
07/16/90	8.15	8.31
07/17/90	8.13	8.3
07/18/90	8.13	8.34
07/19/90	8.13	8.33
07/20/90	8.08	8.28
07/23/90	8.05	8.28
07/24/90	8.12	8.35
07/25/90	8.08	8.31
07/26/90	8.08	8.31
07/27/90	8	8.25
07/30/90	7.93	8.14
07/31/90	7.91	8.13
08/01/90	7.85	8.06
08/02/90	7.9	8.15
08/03/90	7.79	8.11
08/06/90	7.9	8.29
08/07/90	8.04	8.41
08/08/90	8.02	8.43
08/09/90	7.99	8.33
08/10/90	7.95	8.35
08/13/90	7.94	8.36
08/14/90	7.94	8.34
08/15/90	7.94	8.33
08/16/90	8.09	8.45
08/17/90	8.11	8.49
08/20/90	8.13	8.5
08/21/90	8.19	8.56
08/22/90	8.26	8.62
08/23/90	8.26	8.69
08/24/90	8.32	8.75
08/27/90	8.21	8.61
08/28/90	8.23	8.67
08/29/90	8.16	8.52
08/30/90	8.12	8.52
08/31/90	8.07	8.5
09/04/90	8.09	8.53
09/05/90	8.04	8.47
09/06/90	8.06	8.47
09/07/90	8.04	8.45
09/10/90	8.09	8.5
09/11/90	8.1	8.48
09/12/90	8.05	8.45
09/13/90	8.01	8.44
09/14/90	8.03	8.48
09/17/90	8.05	8.49
09/18/90	8.03	8.48
09/19/90	8.08	8.51
09/20/90	8.1	8.53
09/21/90	8.12	8.58
09/24/90	8.21	8.64
09/25/90	8.18	8.64
09/26/90	8.16	8.63
09/27/90	8.05	8.52
09/28/90	8.02	8.47
10/01/90	7.94	8.38
10/02/90	7.92	8.35
10/03/90	7.88	8.33
10/04/90	7.87	8.3
10/05/90	7.81	8.27
10/09/90	7.94	8.43
10/10/90	7.99	8.49
10/11/90	7.99	8.51
10/12/90	7.94	8.44
10/15/90	7.92	8.39
10/16/90	7.92	8.39
10/17/90	7.92	8.37
10/18/90	7.91	8.32
10/19/90	7.85	8.25
10/22/90	7.85	8.25
10/23/90	7.84	8.25
10/24/90	7.84	8.26
10/25/90	7.8	8.21
10/26/90	7.8	8.23
10/29/90	7.82	8.27
10/30/90	7.79	8.28
10/31/90	7.77	8.24
11/01/90	7.68	8.15
11/02/90	7.68	8.16
11/05/90	7.63	8.1
11/06/90	7.65	8.11
11/07/90	7.67	8.16
11/08/90	7.67	8.18
11/09/90	7.61	8.1
11/13/90	7.6	8.01
11/14/90	7.58	8.01
11/15/90	7.6	8.01
11/16/90	7.58	7.96
11/19/90	7.62	8.01
11/20/90	7.62	7.98
